naam,cycle,date,type,complete,use.date
SW_F1,summer.2007,2007-07-01,breeding,0,0
SW_F1,summer.2007,2007-08-02,move,1,1
SW_F1,summer.2007,2007-08-05,pre-migration,1,1
SW_F1,summer.2007,2007-08-26,move,1,1
SW_F1,summer.2007,2007-08-27,pre-migration,1,1
SW_F1,autumn.2007,2007-09-26,migration,1,1
SW_F1,winter.2007-2008,2007-10-24,winter.stage1,1,1
SW_F1,winter.2007-2008,2007-11-09,move,1,1
SW_F1,winter.2007-2008,2007-11-12,winter.stage2,1,1
SW_F1,spring.2008,2008-03-17,migration,1,1
SW_F1,summer.2008,2008-04-18,breeding,1,1
SW_F1,autumn.2008,2008-09-17,migration,1,1
SW_F1,winter.2008-2009,2008-10-02,winter.stage1,1,1
SW_F1,winter.2008-2009,2008-11-17,move,1,1
SW_F1,winter.2008-2009,2008-11-23,winter.stage2,1,1
SW_F1,spring.2009,2009-03-15,migration,1,1
SW_F1,summer.2009,2009-04-08,breeding,1,1
SW_F1,autumn.2009,2009-09-12,migration,1,1
SW_F1,winter.2009-2010,2009-10-11,winter.stage1,1,1
SW_F1,winter.2009-2010,2009-11-15,move,1,1
SW_F1,winter.2009-2010,2009-11-19,winter.stage2,1,1
SW_F1,spring.2010,2010-03-21,migration,1,1
SW_F1,summer.2010,2010-04-11,breeding,1,1
SW_F1,autumn.2010,2010-09-22,migration,1,1
SW_F1,winter.2010-2011,2010-10-25,winter.stage1,1,1
SW_F1,winter.2010-2011,2010-12-14,move,1,1
SW_F1,winter.2010-2011,2010-12-18,winter.stage2,1,1
SW_F1,spring.2011,2011-03-13,migration,1,1
SW_F1,summer.2011,2011-04-07,breeding,1,1
SW_F1,autumn.2011,2011-09-15,migration,1,1
SW_F1,winter.2011-2012,2011-10-08,winter.stage1,0,1
SW_F1,winter.2011-2012,2012-01-31,winter.stage2,0,0
SW_F1,spring.2012,2012-03-14,migration,1,1
SW_F1,summer.2012,2012-04-12,breeding,0,1
SW_F3,summer.2009,2009-06-27,breeding,0,0
SW_F3,autumn.2009,2009-09-12,migration,1,1
SW_F3,winter.2009-2010,2009-10-18,winter.stage1,1,1
SW_F3,winter.2009-2010,2009-10-29,move,1,1
SW_F3,winter.2009-2010,2009-11-02,winter.stage2,1,1
SW_F3,spring.2010,2010-04-05,migration,1,1
SW_F3,summer.2010,2010-04-27,breeding,0,1
SW_M1,summer.2007,2007-06-26,breeding,0,0
SW_M1,autumn.2007,2007-09-07,migration,1,1
SW_M1,winter.2007-2008,2007-10-24,winter.stage1,1,1
SW_M1,spring.2008,2008-03-16,migration,1,1
SW_M1,summer.2008,2008-04-13,breeding,1,1
SW_M1,autumn.2008,2008-09-11,migration,0,1
SW_M2,summer.2008,2008-07-29,breeding,0,0
SW_M2,autumn.2008,2008-09-08,migration,1,1
SW_M2,winter.2008-2009,2008-09-30,winter.stage1,0,1
,,,,,
,,,,,
