naam,cycle,date,type,complete,use.date
Ben,summer.2016,2016-05-02,breeding,0,0
Ben,autumn.2016,2016-09-06,migration,1,1
Ben,winter.2016-2017,2016-10-05,winter.stage1,1,1
Ben,winter.2016-2017,2016-11-15,move,1,1
Ben,winter.2016-2017,2016-11-17,winter.stage2,1,1
Ben,winter.2016-2017,2016-12-04,move,1,1
Ben,winter.2016-2017,2016-12-08,winter.stage3,1,1
Ben,spring.2017,2017-02-27,migration,1,1
Ben,summer.2017,2017-03-29,breeding,0,1
Job,summer.2016,2016-06-18,breeding,0,0
Jozef,summer.2013,2013-06-24,breeding,0,0
Jozef,autumn.2013,2013-09-24,migration,1,1
Jozef,winter.2013-2014,2013-10-15,winter.stage1,1,1
Jozef,winter.2013-2014,2013-10-17,move,1,1
Jozef,winter.2013-2014,2013-10-19,winter.stage2,1,1
Jozef,spring.2014,2014-03-03,migration,1,1
Jozef,summer.2014,2014-04-14,breeding,1,1
Jozef,autumn.2014,2014-08-27,move,1,1
Jozef,autumn.2014,2014-08-28,pre-migration,1,1
Jozef,autumn.2014,2014-09-03,migration,1,1
Jozef,winter.2014-2015,2014-09-18,winter.stage1,1,1
Jozef,winter.2014-2015,2014-10-04,move,1,1
Jozef,winter.2014-2015,2014-10-06,winter.stage2,1,1
Jozef,spring.2015,2015-03-08,migration,1,1
Jozef,summer.2015,2015-04-11,breeding,1,1
Jozef,autumn.2015,2015-08-16,move,1,1
Jozef,autumn.2015,2015-08-17,pre-migration,1,1
Jozef,autumn.2015,2015-08-21,move,1,1
Jozef,autumn.2015,2015-08-24,pre-migration,1,1
Jozef,autumn.2015,2015-09-07,migration,1,1
Jozef,winter.2015-2016,2015-09-26,winter.stage1,1,1
Jozef,winter.2015-2016,2015-11-09,move,1,1
Jozef,winter.2015-2016,2015-11-14,winter.stage2,1,1
Jozef,spring.2016,2016-03-08,migration,1,1
Jozef,summer.2016,2016-04-06,breeding,1,1
Jozef,autumn.2016,2016-08-31,migration,1,1
Jozef,autumn.2016,2016-09-02,pre-migration,1,1
Jozef,autumn.2016,2016-09-06,migration,1,1
Jozef,winter.2016-2017,2016-09-22,winter.stage1,1,1
Jozef,winter.2016-2017,2016-10-30,move,1,1
Jozef,winter.2016-2017,2016-11-02,winter.stage2,1,1
Jozef,spring.2017,2017-02-28,migration,1,1
Jozef,summer.2017,2017-04-07,breeding,0,1
Kjell,summer.2014,2016-06-04,breeding,0,0
Mia,summer.2013,2013-05-16,breeding,0,0
Peter,summer.2013,2013-07-22,breeding,0,0
Peter,autumn.2013,2013-09-04,migration,1,1
Peter,winter.2013-2014,2013-10-04,winter.stage1,1,1
Peter,spring.2014,2014-02-21,migration,1,1
Peter,summer.2014,2014-04-04,breeding,0,1
Raymond,summer.2015,2015-05-26,breeding,0,0
Raymond,autumn.2015,2015-08-29,move,1,1
Raymond,autumn.2015,2015-09-01,pre-migration,1,1
Raymond,autumn.2015,2015-09-19,migration,1,1
Raymond,winter.2015-2016,2015-10-01,winter.stage1,1,1
Raymond,winter.2015-2016,2015-12-15,move,1,1
Raymond,winter.2015-2016,2015-12-18,winter.stage2,1,1
Raymond,spring.2016,2016-03-08,migration,0,1
